Martian,-The;True
Badlands;True
Christ-Complex;True
Charlie's-Angels;True
Hot-Tub-Time-Machine;True
Sunshine-Cleaning;True
Miracle-Worker,-The;True
Frequency;True
Beloved;True
American-Hustle;True
Avengers,-The;True
Shakespeare-in-Love;True
500-Days-of-Summer;True
Stuntman,-The;True
Newsies;True
Only-God-Forgives;True
Cedar-Rapids;True
American,-The;True
Losers,-The;False
42;True
Six-Degrees-of-Separation;True
Sixth-Sense,-The;True
Almost-Famous;True
Date-Night;True
Frozen;False
Body-Heat;True
Friday-the-13th;True
Crime-Spree;True
Lone-Star;True
Invention-of-Lying,-The;True
Limitless;True
Salton-Sea,-The;True
Man-in-the-Iron-Mask;True
Shampoo;True
Saving-Mr.-Banks;True
Monkeybone;True
Collateral-Damage;True
King's-Speech,-The;True
Godzilla;True
Boondock-Saints,-The;True
Shipping-News,-The;True
Blow;True
American-History-X;True
Love-and-Basketball;True
Mulholland-Drive;True
Foxcatcher;True
Speed-Racer;True
Drop-Dead-Gorgeous;True
Detroit-Rock-City;True
No-Country-for-Old-Men;True
His-Girl-Friday;True
Seventh-Seal,-The;True
Boyhood;True
Looper;True
Ninth-Gate,-The;False
Something's-Gotta-Give;True
Face-Off;True
Grapes-of-Wrath,-The;True
Help,-The;True
Fair-Game;True
I,-Robot;False
Spare-Me;True
Carrie;True
Departed,-The;True
Mary-Poppins;False
Point-Break;False
Hostage;True
Fighter,-The;True
Doors,-The;True
Shining,-The;True
Cable-Guy;True
Dark-City;False
Sleepless-in-Seattle;True
Bones;True
In-the-Loop;True
Heavenly-Creatures;True
Fabulous-Baker-Boys,-The;True
Law-Abiding-Citizen;True
Bad-Teacher;True
Bringing-Out-the-Dead;True
Saw;True
Bonfire-of-the-Vanities;True
Prometheus;False
High-Fidelity;True
Flintstones,-The;True
Soldier;True
Last-Boy-Scout,-The;True
Blade-II;False
Scott-Pilgrim-vs-the-World;True
Jimmy-and-Judy;True
La-La-Land;True
American-Gangster;True
Fear-and-Loathing-in-Las-Vegas;False
Pearl-Harbor;True
Clash-of-the-Titans;True
Candle-to-Water;True
Game-6;True
Bourne-Identity,-The;False
Hurt-Locker,-The;False
Ghostbusters-2;True
Eagle-Eye;True
Leaving-Las-Vegas;False
Fugitive,-The;True
Kids;True
Hard-to-Kill;True
Analyze-That;True
Shifty;True
Cinema-Paradiso;True
A-Most-Violent-Year;True
Flash-Gordon;True
Frozen-River;True
New-York-Minute;True
Flight;True
Monte-Carlo;True
Platinum-Blonde;False
Die-Hard-2;True
Le-Diable-par-la-Queue;True
French-Connection,-The;True
Rise-of-the-Guardians;True
Dawn-of-the-Dead;False
Anniversary-Party,-The;True
Crow,-The;True
Cider-House-Rules,-The;True
Confessions-of-a-Dangerous-Mind;True
Coco;False
Magnolia;True
Absolute-Power;True
Avengers,-The;True
I-am-Sam;True
Darkman;True
Duck-Soup;False
Into-the-Woods;True
Lincoln-Lawyer,-The;True
Reader,-The;True
Suspect-Zero;True
Gravity;False
Dog-Day-Afternoon;True
April-Fool's-Day;True
Deer-Hunter,-The;True
Scream-2;True
Bamboozled;True
Sister-Act;True
Barton-Fink;True
Clueless;False
It-Happened-One-Night;True
Reindeer-Games;True
Proposal,-The;True
Program,-The;True
Go;True
Malcolm-X;True
Bourne-Ultimatum,-The;False
Gran-Torino;True
Limey,-The;True
Alien-Nation;True
Broken-Arrow;True
American-Splendor;True
Jason-X;True
Creation;True
Cast-Away;True
Pleasantville;True
Dry-White-Season,-A;True
Jerry-Maguire;True
Dragonslayer;True
A-Prayer-Before-Dawn;True
Four-Rooms;True
My-Girl;True
Hannibal;True
Light-Sleeper;True
Major-League;True
